TIME;PLC_HMI_CONF(Bitset16);W1_ETH_PLC_LifeB(Unsigned8);TSW_ETBA_DirTrainOpSTS(Unsigned8);TSW_ETBA_LifeWord(Unsigned32)
0,000;0;0;2;599
0,128;0;91;2;599
0,256;0;92;2;599
0,384;0;92;2;604
0,512;0;92;2;604
0,640;0;92;2;604
0,768;0;92;2;604
0,896;0;92;2;609
1,024;0;92;2;609
1,152;0;92;2;609
1,280;0;93;2;609
1,408;0;93;2;614
1,536;0;93;2;614
1,664;0;93;2;614
1,792;0;93;2;614
1,920;0;93;2;619
2,048;0;93;2;619
2,176;0;93;2;619
2,304;0;94;2;619
2,432;0;94;2;624
2,560;0;94;2;624
2,688;0;94;2;624
2,816;0;94;2;624
2,944;0;94;2;629
3,072;0;94;2;629
3,200;0;94;2;629
3,328;0;95;2;629
3,456;0;95;2;634
3,584;0;95;2;634
3,712;0;95;2;634
3,840;0;95;2;634
3,968;0;95;2;639
4,096;0;95;2;639
4,224;0;95;2;639
4,352;0;96;2;639
4,480;0;96;2;644
4,608;0;96;2;644
4,736;0;96;2;644
4,864;0;96;2;644
4,992;0;96;2;649
5,120;0;96;2;649
5,248;0;96;2;649
5,376;0;97;2;649
5,504;0;97;2;654
5,632;0;97;2;654
5,760;0;97;2;654
5,888;0;97;2;654
6,016;0;97;2;659
6,144;0;97;2;659
6,272;0;97;2;659
6,400;0;98;2;659
6,528;0;98;2;664
6,656;0;98;2;664
6,784;0;98;2;664
6,912;0;98;2;664
7,040;0;98;2;669
7,168;0;98;2;669
7,296;0;98;2;669
7,424;0;99;2;669
7,552;0;99;2;674
7,680;0;99;2;674
7,808;0;99;2;674
7,936;0;99;2;674
8,064;0;99;2;679
8,192;0;99;2;679
8,320;0;99;2;679
8,448;0;100;2;679
8,576;0;100;2;684
8,704;0;100;2;684
8,832;0;100;2;684
8,960;0;100;2;684
9,088;0;100;2;688
9,216;0;100;2;688
9,344;0;100;2;688
9,472;0;101;2;688
9,600;0;101;2;693
9,728;0;101;2;693
9,856;0;101;2;693
9,984;0;101;2;693
10,112;0;101;2;698
10,240;0;101;2;698
10,368;0;101;2;698
10,496;0;102;2;698
10,624;0;102;2;703
10,752;0;102;2;703
10,880;0;102;2;703
11,008;0;102;2;703
11,136;0;102;2;708
11,264;0;102;2;708
11,392;0;102;2;708
11,520;0;103;2;708
11,648;0;103;2;713
11,776;0;103;2;713
11,904;0;103;2;713
12,032;0;103;2;713
12,160;0;103;2;718
12,288;0;103;2;718
12,416;0;103;2;718
12,544;0;104;2;718
12,672;0;104;2;723
12,800;0;104;2;723
12,928;0;104;2;723
13,056;0;104;2;723
13,184;0;104;2;728
13,312;0;104;2;728
13,440;0;104;2;728
13,568;0;105;2;728
13,696;0;105;2;733
13,824;0;105;2;733
13,952;0;105;2;733
14,080;0;105;2;733
14,208;0;105;2;738
14,336;0;105;2;738
14,464;0;105;2;738
14,592;0;106;2;738
14,720;0;106;2;743
14,848;0;106;2;743
14,976;0;106;2;743
15,104;0;106;2;743
15,232;0;106;2;748
15,360;0;106;2;748
15,488;0;106;2;748
15,616;0;107;2;748
15,744;0;107;2;753
15,872;0;107;2;753
16,000;0;107;2;753
16,128;0;107;2;753
16,256;0;107;2;758
16,384;0;107;2;758
16,512;0;107;2;758
16,640;0;108;2;758
16,768;0;108;2;763
16,896;0;108;2;763
17,024;0;108;2;763
17,152;0;108;2;763
17,280;0;108;2;768
17,408;0;108;2;768
17,536;0;108;2;768
17,664;0;109;2;768
17,792;0;109;2;773
17,920;0;109;2;773
18,048;0;109;2;773
18,176;0;109;2;773
18,304;0;109;2;778
18,432;0;109;2;778
18,560;0;109;2;778
18,688;0;110;2;778
18,816;0;110;2;783
18,944;0;110;2;783
19,072;0;110;2;783
19,200;0;110;2;783
19,328;0;110;2;788
19,456;0;110;2;788
19,584;0;110;2;788
19,712;0;111;2;788
19,840;0;111;2;793
19,968;0;111;2;793
20,096;0;111;2;793
20,224;0;111;2;793
20,352;0;111;2;798
20,480;0;111;2;798
20,608;0;111;2;798
20,736;0;112;2;798
20,864;0;112;2;802
20,992;0;112;2;802
21,120;0;112;2;802
21,248;0;112;2;802
21,376;0;112;2;807
21,504;0;112;2;807
21,632;0;112;2;807
21,760;0;113;2;807
21,888;0;113;2;812
22,016;0;113;2;812
22,144;0;113;2;812
22,272;0;113;2;812
22,400;0;113;2;817
22,528;0;113;2;817
22,656;0;113;2;817
22,784;0;114;2;817
22,912;0;114;2;822
23,040;0;114;2;822
23,168;0;114;2;822
23,296;0;114;2;822
23,424;0;114;2;827
23,552;0;114;2;827
23,680;0;114;2;827
23,808;0;115;2;827
23,936;0;115;2;832
24,064;0;115;2;832
24,192;0;115;2;832
24,320;0;115;2;832
24,448;0;115;2;837
24,576;0;115;2;837
24,704;0;115;2;837
24,832;0;116;2;837
24,960;0;116;2;842
25,088;0;116;2;842
25,216;0;116;2;842
25,344;0;116;2;842
25,472;0;116;2;847
25,600;0;116;2;847
25,728;0;116;2;847
25,856;0;117;2;847
25,984;0;117;2;852
26,112;0;117;2;852
26,240;0;117;2;852
26,368;0;117;2;852
26,496;0;117;2;857
26,624;0;117;2;857
26,752;0;117;2;857
26,880;0;118;2;857
27,008;0;118;2;862
27,136;0;118;2;862
27,264;0;118;2;862
27,392;0;118;2;862
27,520;0;118;2;866
27,648;0;118;2;866
27,776;0;118;2;866
27,904;0;119;2;866
28,032;0;119;2;872
28,160;0;119;2;872
28,288;0;119;2;872
28,416;0;119;2;872
28,544;0;119;2;876
28,672;0;119;2;876
28,800;0;119;2;876
28,928;0;120;2;876
29,056;0;120;2;881
29,184;0;120;2;881
29,312;0;120;2;881
29,440;0;120;2;881
29,568;0;120;2;886
29,696;0;120;2;886
29,824;0;120;2;886
29,952;0;121;2;886
30,080;0;121;2;891
30,208;0;121;2;891
30,336;0;121;2;891
30,464;0;121;2;891
30,592;0;121;2;896
30,720;0;121;2;896
30,848;0;121;2;896
30,976;0;122;2;896
31,104;0;122;2;901
31,232;0;122;2;901
31,360;0;122;2;901
31,488;0;122;2;901
31,616;0;122;2;906
31,744;0;122;2;906
31,872;0;122;2;906
32,000;0;123;2;906
32,128;0;123;2;911
32,256;0;123;2;911
32,384;0;123;2;911
32,512;0;123;2;911
32,640;0;123;2;916
32,768;0;123;2;916
32,896;0;123;2;916
33,024;0;124;2;916
33,152;0;124;2;921
33,280;0;124;2;921
33,408;0;124;2;921
33,536;0;124;2;921
33,664;0;124;2;926
33,792;0;124;2;926
33,920;0;124;2;926
34,048;0;125;2;926
34,176;0;125;2;931
34,304;0;125;2;931
34,432;0;125;2;931
34,560;0;125;2;931
34,688;0;125;2;936
34,816;0;125;2;936
34,944;0;125;2;936
35,072;0;126;2;936
35,200;0;126;2;941
35,328;0;126;2;941
